location_street_address,location_specifier,location_postcode,area_living,floor_number
Louhentie 13,C 20,02130,70.00,2
Metsäläntie 22,A 5,00320,106.00,1
Myllymatkantie 1,E 39,00920,54.90,1
Kiilletie 5,E 47,00710,60.00,3
Punahilkantie 12,D 33,00820,53.00,2
Yhdistystie 9,A 9,00320,60.00,3
Tuhkimontie 7-9,F 39,00820,61.00,1
Kätköpaikantie 4,as. 8,02780,115.00,1
Solisevantie 4,B 4,02760,106.50,2
Ohjaajantie 8,A 7,00400,29.00,2
Suvikuja 4,B 27,02120,37.00,1
Sulkapolku 1,B 5,00370,69.00,1
Malmin raitti 8-10,B 18,00700,61.00,2
Ansaritie 3,A 13,00350,24.00,3
Gräsantörmä 13,A 11,02200,80.50,3
Metsomäentie 5,G 21,01260,80.00,1
Välimerenkatu 10,B 67,00220,68.00,8
Malminkatu 36,B 33,00100,36.00,2
Tunturikatu 3,A 14,00100,120.00,4
Puolikkotie 6,B 65,02230,60.00,6
Viherkallionkuja 3,A 126,02710,42.00,1
Laulurastaankuja 1,A 2,00700,34.00,2
Lielahdentie 14,B 13,00200,50.00,1
Tilkankatu 14,A 4,00300,92.50,2
Majavatie 8,A 15,00800,43.50,3
Kotisaarenkatu 6,B 40,00560,113.00,6
Lokkalintie 1-3,A 10,00330,25.00,3
Kiirunapolku 8,E 10,01450,88.00,1
Särkiniementie 15,E 91,00210,60.50,2
Kapteeninkatu 4,E 26,00140,111.40,3
Huhtakivenkuja 2,D 1,00970,69.50,1
Porttikuja 1,C 129,00940,70.00,2
Tuulimyllyntie 8,D 90,00920,72.00,2
Kellarikuja 1,B 9,02630,78.00,1
Heinäpoudankuja 3,A,02760,76.00,1
Norotie 6,B 20,01600,97.50,5
Kuusistonlinnantie 1,F 49,00900,65.50,3
Hauenkalliontie 12,H 112,02170,28.00,1
Messeniuksenkatu 9,A 35,00250,80.00,7
Vanamontie 4,A 67,01350,59.50,1
Ruoholahdenranta 1,C 34,00180,89.50,4
Luotsikatu 14,A 2,00160,143.00,2
Toppelundintie 3,A 12,02170,110.50,5
Simonkatu 10,D 72,00100,83.00,6
Yläkiventie 3,B 58,00920,61.50,4
Poutamäentie 12,B 16,00360,54.50,1
Satamasaarentie 3,B 68,00980,36.00,6
Keinutie 10,B 13,00940,76.50,2
Kaarenjalka 4,B 36,00940,53.00,3
Kauppiaankatu 12,B 19,00160,90.00,2
Laajalahdentie 19,A 16,00330,84.00,5
Otsolahdentie 16,A 21,02110,25.00,3
Agricolankatu 9,B 35 b,00530,41.50,2
Adolf Lindforsin tie 1,B 51,00400,24.50,3
Kustaankatu 9,C 45,00500,48.00,2
Jääkärinkatu 8,B 32,00150,33.50,3
Ilmarinkatu 8,A 21,00100,24.40,5
Valkealantie 12,as. 3,00950,81.00,1
Jönsaksenkuja 3,D 33,01600,72.00,3
Adolf Lindforsin tie 11,B 13,00400,52.00,2
Niemenmäentie 6,B 29,00350,57.00,4
Vesirattaanmäki 1,B 48,02740,44.00,4
Sotkatie 5,B 10,00200,51.00,2
Neulapadontie 4,H 74,00920,71.20,2
Toinen linja 13,A 5,00530,43.50,3
Mechelininkatu 19,C 50,00100,23.00,4
Matinniitynkuja 3,B 56,02230,47.50,4
Eerikinkatu 48,E 98,00180,22.90,2
Itämerenkatu 16,H 165,00180,40.00,5
Hietalahdenkatu 12,A 16,00180,68.00,4
Kuvastimentie 1,E 8,02210,47.50,2
Luoteisväylä 32,A 7,00200,32.30,2
Rajamännynkuja 3,B 4,02710,31.00,1
Fleminginkatu 13,B 46,00500,22.00,5
Lönnrotinkatu 33-35,F 79,00180,42.50,4
Kajanuksenkatu 4,A 15,00250,40.00,3
Harustie 1,F 56,00980,54.50,1
Kurkimäentie 23,A 2,00940,74.50,1
Ratakatu 11-13,B 23,00120,63.00,3
Ulvilantie 19 c,B 57,00350,31.00,7
Paciuksenkaari 19,B 44,00270,45.00,6
Saarenmaankatu 8,A 2,00980,131.00,1
Killingholmankuja 3,A 16,00810,85.50,3
Piispantie 4,E 24,00370,29.00,2
Lähderanta 20,F 38,02720,27.00,4
Klaavuntie 6,H 71,00910,26.00,3
Risupadontie 6,F 43,00640,78.00,3
Kivihaankuja 6,C 24,00310,59.00,3
Emännänkuja 1,G 54,01670,85.50,2
Vanha Tapanilantie 48,as. G,00730,115.00,1
Valhallankatu 11,A 9,00250,79.00,3
Näkinkuja 7a,A 6,00530,23.00,1
Vähäntuvantie 7,A 11,00390,42.00,4
Laivanvarustajankatu 6,B 13,00140,163.50,3
Maauuninkuja 4,F 59,01450,80.00,3
Laivapojankatu 3,B 35,00180,49.00,5
Kauppaneuvoksentie 14,A 3,00200,69.20,1
Suezinkatu 7,B 34,00220,83.50,5
Kämnerintie 6,C 35,00750,35.00,3
Vilhonvuorenkatu 7-9,C 78,00500,30.00,6
Heteniityntie 5,A 5,00960,47.50,2
Uuno Kailaan katu 5,C 75,02600,51.50,5
Kalevankatu 38,D 60,00180,30.00,3
Niittaajankatu 7,A 11,00810,40.50,4
